Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Num_of_Loan,Outstanding_Debt,Total_EMI_per_month,Delay_from_due_date,Num_of_Delayed_Payment,Credit_History_Age,Payment_of_Min_Amount,Credit_Utilization_Ratio,Credit_Mix,Monthly_Balance,Credit_Score
22.0,0,14728.21,1480.3508333333332,10,9,3.0,2390.37,41.58565127954797,49,11.0,203,1,31.96601770183103,1,311.19730867353246,0
32.0,9,20162.26,1872.188333333333,8,4,4.0,660.26,66.24488172410403,13,10.0,237,0,34.49702609636193,1,201.6342648744092,1
21.0,9,75506.42,6050.201666666668,1,4,1.0,1069.19,60.903643233171024,1,2.0,284,0,39.848918502421775,2,555.8184475742175,0
37.0,7,137798.88,10609.791908648782,6,726,0.0,1056.3,988.4480913512176,23,12.0,329,0,30.0543105570062,1,282.87021730052203,2
39.0,9,46268.4,3983.7,5,4,4.0,1447.57,103.77805009014692,27,17.0,168,1,30.45722270101841,1,323.6427960874905,0
49.0,3,15279.545,1517.7916271206154,0,5,3.0,168.35,76.53930322159488,1,4.0,370,0,27.60211956243887,2,349.81392850433366,2
22.0,6,83358.3,6896.5250000000015,5,3,3.0,727.88,169.93600478124742,6,6.0,370,0,24.20426009832673,1,526.6799675252644,2
22.0,5,37360.94,2864.411666666667,10,5,5.0,1271.23,93.34174656716053,44,12.0,142,1,36.19634556049452,1,228.6213162115775,0
44.0,7,154868.24,13051.686666666665,2,5,0.0,242.75,0.0,14,3.0,359,0,42.320068058227136,2,825.5747893873512,0
32.0,12,94991.82,8144.985,7,6,0.0,1320.61,0.0,18,16.0,317,1,39.28777692805084,1,948.5166400238722,1
45.0,8,34476.68,2715.056666666667,6,7,8.0,1976.63,171.1757589064547,36,17.0,138,1,23.55350923404709,0,147.55738128895217,0
31.0,0,14532812.0,914.15,6,10,6.0,4128.98,24.906263362349712,18,19.0,83,1,29.370854851559912,0,255.64522482784812,1
42.0,3,135851.24,11418.936666666665,4,4,2.0,695.12,206.55719362380657,28,19.0,302,1,32.631874548192144,1,76.25273594871554,2
24.0,13,17975.32,1444.9433333333334,6,5,9.0,1263.1,76.450324587172,61,25.0,149,1,25.681798029462104,0,181.26779867070005,0
43.0,2,15305.46,1230.455,0,7,2.0,642.42,20.301653868439384,14,2.0,189,0,27.52511297681479,2,327.96536605522886,1
37.0,5,107118.96,9104.58,5,7,3.0,1049.33,53636.0,24,8.0,370,1,29.111560568760147,1,235.41521726855115,1
41.0,6,17692.27,1335.3558333333333,6,5,6.0,3762.64,78.44723488236784,35,25.0,137,1,24.55496970878073,0,177.6469634366089,1
29.0,0,31316.47,2510.705833333333,0,2,2.0,800.89,26959.0,13,5.0,222,0,36.4516560517456,2,355.2718152011777,2
41.0,2,7645.095,632.0912500000002,9,9,5.0,2869.83,17.487851054475886,42,18.0,146,1,24.63934637515448,0,287.0973611891135,1
41.0,2,158483.48,12927.956666666669,2,1,3.0,471.82,347.53545957543184,1,3.0,339,0,31.462859625731845,2,344.46005942406373,2
25.0,5,10060.015,1103.3345833333333,3,9,6.0,1971.81,32.28432276915212,18,12.0,130,1,26.65609993818429,1,265.773573564623,1
20.0,4,41695.76,3401.646666666667,6,7,9.0,4453.51,302.8057257057672,24,20.0,102,0,26.69776846386521,0,221.67477253496787,1
42.0,14,76440.52,6647.043333333334,0,4,2.0,998.47,96.74970978904616,7,2.0,249,0,36.402362376494544,2,300.0960322620174,2
34.0,7,115324.62,9772.385,2,5,4.0,1316.45,199.25125980012183,9,6.0,287,0,40.506395476913774,2,657.7386330427197,1
24.0,10,70779.18,5861.264999999999,1,4,4.0,1340.31,131.34831160336728,14,2.0,257,0,25.856378034105678,2,414.17610876952784,2
51.0,12,93847.86,7599.655,3,4,3.0,1405.22,196.7267019001216,14,10.0,197,0,28.96635604822284,1,310.68157022467386,1
24.0,11,176696.88,13780.774640498716,5,7,4.0,433.68,1169.8091164964517,4,8.0,206,0,41.770112169625456,2,1022.7368432457348,2
22.0,7,134393.73,10944.4775,1,3,2.0,945.29,136.0306304787093,13,1.0,308,0,34.951282585470125,2,1030.3161230806306,1
49.0,7,19867.475,1396.6229166666665,3,5,3.0,707.29,42.60688196261637,10,9.0,392,0,26.68978981173729,2,313.5944656613208,2
25.0,0,18963.65,1794.3041666666668,4,8,6.0,2422.18,64.12529496657565,27,7.0,84,1,26.01558081219003,1,304.5495161434038,1
45.0,10,44134.06,3182.4816954086864,4,4,3.0,809.59,551.2715538571302,29,19.0,281,0,33.943525567429425,2,467.158755726605,2
34.0,10,16319.375,1518.947916666667,7,3,2.0,1275.32,16.291128824626224,16,13.0,285,0,31.404445972787947,1,303.2637952593456,1
46.0,2,31877.72,2571.476666666667,2,5,1.0,886.59,21.794375249782988,29,13.0,303,0,28.72954070561974,1,403.0142972341543,1
31.0,8,30429.91,2808.8258333333333,4,6,2.0,362.48,29.91407646402904,22,17.0,347,0,33.349050386579805,1,438.0897210941608,1
28.0,7,92300.01,7437.6675,2,4,3.0,755.17,49236.0,27,9.0,227,1,26.98978682085289,1,581.1567885447394,1
38.0,9,63601.48,5400.123333333334,3,7,6.0,1191.91,184.6916345620093,26,13.0,237,1,25.704061995632163,1,473.8036564164217,1
44.0,8,44295.54,3677.295,8,6,2.0,1280.42,65.57597408241918,38,21.0,153,1,37.28447193197264,1,477.5404388722204,0
26.0,6,69136.54,5902.378333333332,3,4,0.0,478.85,0.0,14,18.0,209,1,32.103163720187204,1,444.3008317850936,1
22.0,1,14550.52,1392.543333333333,7,10,9.0,4444.99,95.91103044567788,43,20.0,132,1,25.56948290194817,1,210.2045926714747,1
28.0,7,34819.83,2689.6525,312,3,1.0,905.89,22.795396122443535,14,12.0,226,1,37.698168874640345,1,380.5702480872735,1
28.0,13,70099.04,5420.165108200587,1,1,3.0,498.61,790.3394730098074,5,6.0,292,0,28.95181592765235,2,601.9706932345978,2
19.0,10,14527.455,964.62125,3,3,4.0,321.05,41.69544479322632,19,3.0,238,0,32.388556397461755,2,295.3835812210628,2
34.0,4,29902.22,2230.851666666667,6,3,3.0,533.71,66.21032709571732,9,13.0,242,1,38.3218305566926,1,352.7615192954917,1
49.0,8,16523.745,1516.97875,1,4,4.0,455.49,52.216169090547005,8,8.0,311,0,31.799772350690677,2,325.21545235498814,1
53.0,1,36817.94,3198.161666666667,5,4,3.0,1019.46,86.80991788500882,9,6.0,206,0,35.270662623673125,2,316.491917541932,2
25.0,9,11731.585,828.6320833333333,8,3,2.0,289.73,15.359696785723465,18,7.0,230,1,27.507404520533136,1,314.72566523028024,1
42.0,12,87538.24,6183.897311926858,2,4,0.0,41.82,955.9560214064752,11,6.0,303,0,30.91408081868636,1,738.1257662392418,2
34.0,11,44986.55,3689.879166666667,6,5,1.0,753.21,23.26713547724025,0,4.0,240,0,25.58628563739529,2,542.5171477430948,2
34.0,7,62835.08,5464.256666666667,0,4,2.0,306.85,67.38407411418386,9,12.0,399,0,34.58423425131193,1,498.9703248982248,2
34.0,6,14867.69,1005.9741666666664,9,9,6.0,2344.06,55.45960424165637,39,15.0,206,1,24.344387515679117,1,224.99206407779144,0
30.0,7,38735.57,3187.964166666666,2,4,2.0,800.94,43.94375079661637,15,11.0,209,0,36.78575375276947,2,419.48676362162905,2
46.0,14,18829.82,1578.1516666666666,8,8,4.0,1752.02,34.90700760005657,23,6.0,108,1,28.93620104070208,1,282.95022071375047,0
34.0,2,19506.73,1491.5608333333332,9,7,6.0,1594.83,59.13404168572198,47,12.0,178,1,24.274660861487035,0,230.33427734800028,0
34.0,12,29135.38,2138.9483333333333,10,7,9.0,1833.81,201.0022811215709,21,25.0,113,1,24.806980522877375,0,144.05460488342078,0
27.0,7,18743.075,1330.9229166666669,2,7,4.0,183.15,57.80181332894509,7,12.0,272,0,34.88858652624127,2,225.214982776586,2
19.0,4,20143.27,1550.605833333333,10,8,2.0,1693.73,30.359208143229136,44,15.0,130,1,36.30136464461389,1,272.8048203488831,0
42.0,1,33209.27,2954.439166666666,1,6,2.0,743.65,54.263163320411365,24,4.0,209,0,30.248115138975468,1,259.02971897498213,0
31.0,1,128494.52,10580.876666666669,4,4,2.0,722.25,176.90460970962792,0,0.0,344,0,31.238780973394945,2,995.2348625854976,2
52.0,7,11421.51,1030.7925,5,3,3.0,1278.12,20.892935942627965,19,15.0,362,1,24.01655809850224,1,316.296413711387,1
48.0,5,36346.13,3188.8441666666663,8,6,3.0,1252.46,89.06155404212532,21,15.0,266,0,28.06670356275372,2,369.3131601102126,1
34.0,10,18231.52,1448.293333333333,6,1375,9.0,1358.96,86.60864700923113,35,17.0,185,1,34.00302836545173,1,245.96011992887915,0
39.0,6,30739.3,2298.608333333333,4,4,6.0,1365.58,135.2381410533745,15,8.0,218,1,23.40314239952093,1,248.169428178138,1
34.0,2,14937.49,1142.7908333333332,8,8,7.0,3699.44,50.9608782796448,43,15.0,165,0,23.12096333226524,0,239.1731813300757,1
51.0,5,42112.56,3511.38,5,6,4.0,1052.71,132.19354223673596,1,3.0,202,0,25.03652442406168,2,290.0301978627343,1
24.0,11,64996.98,5215.415,3,5,2.0,340.81,97.54060256064837,26,12.0,389,1,42.01869962525193,1,577.8538450608727,1
25.0,12,28352.24,2385.686666666667,4,4,3.0,1085.7,46.3907297619036,4,0.0,202,0,23.101989352758928,2,380.462689241898,1
34.0,10,36228.2,2991.0166666666664,8,7,2.0,1643.06,47.25240768446396,28,15.0,225,1,37.11248259461096,1,366.9782289080675,0
31.0,1,7703.635,651.9695833333334,6,8,6.0,3044.94,32.08109830785891,54,19.0,32,1,26.701651896312512,0,274.0208958305056,0
33.0,5,22188.45,2006.0375,1,5,1.0,1352.38,10.011417582528251,24,1.0,197,0,36.34397503429316,2,327.47766851248,0
32.0,13,9529.855,688.1545833333333,9,8,3.0,1818.36,12.010942528772643,50,15.0,86,1,35.67904963474193,0,296.1724803453482,1
28.0,2,16861.34,1453.111666666667,2,6,3.0,408.71,41.57299470679325,0,8.0,284,0,37.592745364819216,2,255.52379738820065,1
28.0,2,72503.56,5974.963333333332,6,8,9.0,4205.6,362.8461014587367,60,18.0,164,1,35.85849513022017,0,377.2937467661558,1
28.0,5,34132.87,2970.4058333333337,4,6,4.0,187.64,100.08431790291893,7,13.0,254,0,37.948323515588754,2,108.21005004804204,2
47.0,12,38670.08,3459.5066666666667,4,5,3.0,632.29,23.92376087713088,9,2.0,272,0,38.66287047811941,2,343.9180354229496,1
50.0,5,44955.64,3878.303333333333,4,6,0.0,766.63,0.0,25,9.0,207,1,38.79470512627208,1,567.4936411710535,1
35.0,8,32129.0,2514.4166666666665,3,7,2.0,2554.25,34.996481164896124,28,19.0,164,1,30.281945043658663,1,403.172318010871,0
22.0,8,42031.09,3762.590833333333,2,1,3.0,83.55,66.50617973071175,1,5.0,207,0,24.06558946667285,2,450.89704599615953,2
36.0,1,34710.6,3170.55,6,3,3.0,1462.53,197.1080745500404,22,10.0,180,1,33.989022524206824,1,85.48451747279788,1
46.0,1,99337.28,8563.106666666668,5,5,6.0,255.82,338.65242393206125,14,13.0,198,1,36.046757714493225,1,455.4395876845728,1
34.0,12,49070.94,4128.245000000001,8,4,3.0,1800.41,72.73879851964888,13,17.0,71,0,28.695714048288423,1,300.0343140085941,0
23.0,4,13762.45,910.8708333333334,7,6,5.0,720.94,3653.0,14,8.0,137,0,28.35485366787169,1,285.2506638926351,1
20.0,13,12416.06,1171.6716666666666,7,5,0.0,899.73,0.0,20,15.0,98,1,36.5150797796143,1,340.31285383902195,1
43.0,3,15096.85,1033.0708333333334,8,6,4.0,1928.03,35.31355866891549,18,20.0,207,1,32.5165585073259,1,264.3249250589178,0
18.0,14,8780.975,435.7479166666667,5,4,6.0,851.71,36.74831397560092,16,8.0,135,1,38.95839469679362,1,243.9776878251166,0
43.0,1,10692.16,817.0133333333333,8,4,0.0,1350.85,0.0,17,12.0,384,1,34.60893055195861,1,279.75958156790693,1
34.0,5,33642.07,2509.505833333333,7,3,2.0,696.57,29.563932494323076,22,8.0,275,0,32.07386883283608,1,430.5489705600272,1
34.0,3,60938.13,5163.1775,10,8,8.0,3947.24,378.304673376643,26,21.0,65,1,36.591277640451366,0,269.716274387424,0
19.0,9,20232.11,1918.009166666667,5,3,5.0,1104.6,48.65776554649244,9,20.0,112,1,29.79703171752677,1,286.3551816913196,1
32.0,13,75816.52,6291.043333333334,6,9,5.0,2555.9,158.16377910521788,20,25.0,74,1,30.813631817618536,1,637.8860416306247,1
31.0,1,10455.875,729.3229166666665,6,5,3.0,83.16,25.748447656166505,11,19.0,279,0,29.46491266999567,2,302.6933396329921,2
46.0,8,57738.06,4881.505,9,8,9.0,3916.47,296.2841357039575,61,24.0,164,1,25.74214265617326,0,388.0451866477284,0
49.0,7,102080.46,8299.705,5,6,4.0,89.98,223.3990346080027,17,15.0,292,1,33.24202401455771,1,453.9780066587642,1
24.0,5,95933.68,7860.473333333332,4,5,7.0,129.15,361.8671108749424,18,10.0,98,1,34.16585064443529,1,496.4621943782166,1
24.0,9,78094.28,6755.856666666668,10,7,5.0,1695.41,270.63980526897086,62,19.0,236,1,38.279828162989936,0,576.6306300340561,1
25.0,8,18158.33,1325.1941666666671,7,9,4.0,1401.91,39.76786259442177,28,16.0,212,1,30.40442383640512,0,240.70349862623985,0
37.0,10,26450.59,2079.215833333333,5,6,4.0,952.9,73.67019025318037,24,18.0,344,0,26.399802347810397,1,354.6989221210405,1
44.0,3,103092.27,8311.0225,3,6,4.0,300.65,328.6048363557977,22,15.0,164,1,39.79152936733932,1,676.5734799170089,1
44.0,10,44822.21,3555.1841666666664,1,4,4.0,730.64,135.04428557554093,10,7.0,289,0,30.05812455618788,2,370.4207097548404,1
37.0,8,33799.36,2944.613333333333,5,3,4.0,173.76,75.09807764471795,15,13.0,83,1,28.18336167434736,1,253.98091626869288,1
18.0,14,67104.12,5829.009999999998,9,9,5.0,4635.75,265.0221602340179,28,25.0,21,1,27.64402303686195,0,391.6203151405448,1
29.0,3,15906.4,1350.5333333333333,9,10,8.0,3167.74,91.8933758063416,22,21.0,131,1,31.08570159781371,0,213.5526984801409,0
34.0,4,15717.275,1131.0343164265475,1,5,1.0,1020.27,152.18147539550287,-1,8.0,377,0,26.46211532409237,2,257.78487022590286,1
51.0,5,97976.08,8136.673333333332,8,6,2.0,1113.49,115.08732513084908,16,8.0,338,1,34.214581014747246,1,770.585212250888,1
48.0,8,85760.85,7172.7375,2,6,4.0,695.2,171.43019791284397,16,3.0,375,0,28.054554003105608,2,300.7368935595873,0
39.0,14,45188.52,3868.7100000000014,9,10,7.0,1960.28,154.35745842806455,44,20.0,185,1,30.69063148859857,1,342.0134355163832,0
30.0,2,20521.36,1721.1133333333337,10,8,3.0,1896.78,42.15204181287907,21,12.0,129,1,22.72443389046489,1,244.4192925973349,0
42.0,0,9795.07,586.2558333333333,7,8,6.0,2065.27,42.60531716835378,62,14.0,71,1,29.042817520001787,0,281.5951856248648,0
41.0,0,21384.94,1646.0783333333331,4,4,2.0,691.53,22.09562499959782,24,15.0,324,1,24.884464354479032,1,254.2667128237105,1
28.0,12,62320.56,5068.38,9,9,5.0,3589.56,171.34555972446432,23,15.0,23,0,38.3374492978831,1,423.9815768794014,1
36.0,2,31754.27,2541.1891666666666,1,3,4.0,647.94,76.53550481198546,10,1.0,231,0,28.333369329064432,1,277.56876536254384,2
43.0,1,46874.85000000001,4082.237500000001,9,5,3.0,1913.66,70.54051853521419,50,21.0,214,1,34.61525702569519,0,460.6970034074806,0
34.0,3,38980.76,3172.396666666667,8,8,9.0,2927.1,167.5367489981145,27,17.0,47,1,40.39762432875828,0,321.0676074109371,1
42.0,12,45675.0,3635.25,8,5,4.0,1771.8,134.27025580809507,23,13.0,77,1,37.76324165915254,1,332.69165781404985,0
43.0,9,68898.0,5588.5,7,4,0.0,312.14,0.0,24,16.0,338,0,29.86160695200283,1,613.0610202232482,1
25.0,14,59237.96,4693.496666666667,10,7,8.0,1593.75,319.1632016801445,19,22.0,159,1,30.69496747740871,0,325.20350263467424,0
46.0,8,87876.27,7232.0225,4,5,0.0,502.29,0.0,10,16.0,275,1,36.81954810092673,1,606.7242405488207,1
35.0,3,26342.91,1949.2425,6,7,1.0,397.9,57567.0,23,14.0,264,1,33.21173803384935,1,365.2837329906362,1
18.0,8,128450.32,10943.193333333336,1,5,3.0,23.79,161.48753156568546,8,2.0,369,0,29.21807000248537,2,367.7654206750102,2
51.0,14,106876.77,9149.3975,4,5,1.0,356.07,62.24258065692497,21,20.0,353,0,32.777617530254595,2,972.854028388856,1
31.0,14,79005.0,6860.75,5,7,2.0,876.69,68.49550493057447,11,13.0,328,0,37.97591410053564,1,568.8023459986528,2
43.0,4,9203.725,1048.9770833333332,10,5,7.0,2338.29,31.49706645080065,37,21.0,104,0,24.21894226717897,1,248.9163492767384,0
47.0,10,138613.48,11706.123333333337,7,5,3.0,768.69,182.1762394242338,19,20.0,214,0,31.69324507637123,1,839.2677896462453,1
46.0,2,68105.6,5636.466666666667,8,8,5.0,2867.7,279.08206906571314,28,27.0,29,1,24.145902467916198,0,471.8998906352681,0
20.0,9,19858.97,1663.914166666667,10,6,3.0,1689.38,6821.0,33,22.0,160,1,31.30340584617004,0,329.9680567756764,0
27.0,0,35823.96,2937.33,6,547,5.0,3029.92,112.43578465602695,39,17.0,117,1,31.56717092224887,0,292.7811441293461,1
19.0,9,8658.18,637.515,10,7,3.0,2599.69,36.69578384534481,19,21.0,89,1,37.50408407440113,0,236.6945925980032,0
50.0,5,160573.56,13293.13,1,2,1.0,551.26,121.17893736436994,12,3.0,238,0,38.73971091731583,2,1071.349956294642,1
41.0,11,19514.88,1828.24,7,5,0.0,881.4,0.0,26,11.0,238,0,28.781887776659712,1,343.6824585120372,0
33.0,10,30874.43,2595.869166666667,4,5,2.0,243.11,48.26786997081568,10,5.0,266,0,26.63543442440361,2,403.40956431490326,0
40.0,7,20078.47,1447.2058333333334,10,10,8.0,4545.35,120.33401013490304,43,22.0,166,0,31.77552413597813,1,236.1900517123333,1
33.0,7,44261.65,3317.279510476521,4,1,1.0,452.2,460.3113893092255,4,12.0,363,0,35.48997956263001,1,277.5680017288395,1
21.0,11,15307.26,1097.605,2,1,0.0,705.9,0.0,5,1.0,298,0,38.92848361223899,2,354.7082217971798,1
41.0,5,16626.25,1096.5208333333333,0,2,0.0,1113.26,0.0,13,7.0,274,0,25.30621989849736,2,346.2658913789116,2
30.0,8,100914.38999999998,8546.5325,5,5,5.0,1410.49,242.9660429948069,28,9.0,105,1,39.91276190688407,1,616.3443082104483,1
42.0,1,40600.61,3420.3841666666667,4,7,2.0,1198.96,63.61485153131626,9,0.0,255,0,33.44434002471432,2,462.8831117171678,1
